climate,site_r,plant_id,n_rows,crown_height,n_spikes,spike_length,infl_mass
cool,a,1,1,48.1,15,10.6,
cool,a,10,4,60.7,17,17.3,0.781
cool,a,11,4,34.5,5,11.2,0.089
cool,a,12,4,58.4,9,16.1,0.29
cool,a,13,4,29.5,1,5.2,0.038
cool,a,13x,1,65.9,24,21.2,0.949
cool,a,14,4,18,1,0.2,
cool,a,14b,1,32.4,1,9.8,
cool,a,15,4,57.6,12,16.1,0.552
cool,a,1x,1,40.3,4,12.3,0.163
cool,a,2,4,29,2,10.2,
cool,a,2x,1,38.2,7,14,0.313
cool,a,3,4,32.2,6,9.5,
cool,a,3x,1,24.3,5,5.7,0.085
cool,a,4,4,24,1,5,
cool,a,4x,1,47.2,31,17.1,1.108
cool,a,5,4,24.2,1,7,
cool,a,5x,1,23.6,5,6.2,0.064
cool,a,6,4,59.4,6,12,0.16
cool,a,7,4,44.8,1,4.5,
cool,a,8,4,27,0,,
cool,a,9,4,58.6,10,10.5,0.237
cool,b,1,3,5,1,0.7,
cool,b,10,4,18.5,4,7,0.053
cool,b,11,5,25.4,6,8.3,0.063
cool,b,12,4,21.2,5,9.5,0.122
cool,b,13,4,30.6,14,14.6,0.251
cool,b,14,4,4.7,0,,
cool,b,14x,1,27.7,11,12.9,0.525
cool,b,15,4,5.9,0,,
cool,b,15x,1,26.4,6,8.6,0.166
cool,b,2,3,15.4,1,2.5,
cool,b,3,4,12.1,2,1.5,
cool,b,3x,1,10.4,1,0.2,
cool,b,4,4,27.9,11,12.3,0.189
cool,b,5,4,18.7,1,7.7,0.034
cool,b,6,4,19.4,5,4,0.017
cool,b,7,4,12.5,1,0.5,
cool,b,7x,1,15.7,1,4.2,0.018
cool,b,8,4,40.2,7,11.8,0.251
cool,b,9,4,30.5,8,4.6,
cool,b,9X,1,,,,0.158
cool,c,1,4,55,13,14,0.309
cool,c,10,4,49.2,4,12,0.074
cool,c,11,4,21.5,1,1,
cool,c,11x,1,64,8,13.2,0.375
cool,c,12,4,15.5,0,,
cool,c,12x,2,46.5,1,10.5,0.065
cool,c,13,4,33.4,2,10.5,0.098
cool,c,14,4,10.2,0,,
cool,c,14x,1,23.4,1,4.7,0.044
cool,c,15,4,61.8,14,14.7,
cool,c,15x,1,22.2,1,0.7,
cool,c,2,4,52.5,18,12.4,0.356
cool,c,3,4,55.4,10,12.7,0.327
cool,c,4,4,44.1,1,11.6,0.039
cool,c,5,4,56,13,13,0.292
cool,c,6,4,39.4,3,9.1,0.115
cool,c,7,4,50.3,11,11.2,0.227
cool,c,8,4,6.3,0,,
cool,c,8x,1,48.1,5,12.8,0.17
cool,c,9,4,77.1,164,14.8,4.344
cool,d,1,5,41.2,16,16,0.025
cool,d,10,4,25,5,15.2,0.157
cool,d,11,4,64.7,31,16.6,0.528
cool,d,12,4,87.8,146,19,5.484
cool,d,13,4,68.4,16,15.8,1.823
cool,d,14,4,70.5,46,24.6,3.244
cool,d,15,4,73.7,38,22,1.525
cool,d,15X,1,,,,
cool,d,2,4,21.3,1,3.8,0.015
cool,d,3,4,15.6,0,10,
cool,d,3x,1,35.4,4,9.3,0.107
cool,d,4,4,22,4,7.1,
cool,d,4x,1,25,1,6.3,0.038
cool,d,5,4,7.1,0,,
cool,d,5x,1,61.4,14,14.9,0.394
cool,d,6,4,5.1,0,,
