year,climate,site_r,site,week,no_plants,pollen_flowers,per_flowers
2011,Cool,a,1,1,91,0,0
2011,Cool,a,1,2,126,0,0
2011,Cool,a,1,3,153,0,0
2011,Cool,a,1,4,128,0,0
2011,Cool,a,1,5,170,19,0.111764706
2011,Cool,a,1,6,166,25,0.15060241
2011,Cool,a,1,7,185,124,0.67027027
2011,Cool,a,1,8,147,127,0.863945578
2011,Cool,a,1,9,87,68,0.781609195
2011,Cool,a,1,10,73,25,0.342465753
2011,Cool,a,1,11,91,2,0.021978022
2011,Cool,a,1,12,51,1,0.019607843
2011,Cool,b,2,1,360,0,0
2011,Cool,b,2,2,108,0,0
2011,Cool,b,2,3,84,0,0
2011,Cool,b,2,4,113,0,0
2011,Cool,b,2,5,142,1,0.007042254
2011,Cool,b,2,6,114,7,0.061403509
2011,Cool,b,2,7,161,98,0.608695652
2011,Cool,b,2,8,150,113,0.753333333
2011,Cool,b,2,9,89,81,0.91011236
2011,Cool,b,2,10,82,71,0.865853659
2011,Cool,b,2,11,66,3,0.045454545
2011,Cool,b,2,12,82,0,0
2011,Cool,c,3,1,229,0,0
2011,Cool,c,3,2,169,0,0
2011,Cool,c,3,3,137,0,0
2011,Cool,c,3,4,106,0,0
2011,Cool,c,3,5,56,9,0.160714286
2011,Cool,c,3,6,180,94,0.522222222
2011,Cool,c,3,7,182,166,0.912087912
2011,Cool,c,3,8,189,175,0.925925926
2011,Cool,c,3,9,126,123,0.976190476
2011,Cool,c,3,10,77,67,0.87012987
2011,Cool,c,3,11,72,0,0
2011,Cool,c,3,12,NA,NA,NA
2011,Cool,d,4,1,52,0,0
2011,Cool,d,4,2,60,0,0
2011,Cool,d,4,3,60,0,0
2011,Cool,d,4,4,67,1,0.014925373
2011,Cool,d,4,5,164,77,0.469512195
2011,Cool,d,4,6,61,13,0.213114754
2011,Cool,d,4,7,54,42,0.777777778
2011,Cool,d,4,8,58,58,1
2011,Cool,d,4,9,45,44,0.977777778
2011,Cool,d,4,10,35,34,0.971428571
2011,Cool,d,4,11,30,0,0
2011,Cool,d,4,12,NA,NA,NA
2011,Cool,e,5,1,54,0,0
2011,Cool,e,5,2,52,0,0
2011,Cool,e,5,3,44,0,0
2011,Cool,e,5,4,49,0,0
2011,Cool,e,5,5,65,0,0
2011,Cool,e,5,6,54,1,0.018518519
2011,Cool,e,5,7,71,39,0.549295775
2011,Cool,e,5,8,51,31,0.607843137
2011,Cool,e,5,9,44,22,0.5
2011,Cool,e,5,10,74,17,0.22972973
2011,Cool,e,5,11,20,0,0
2011,Cool,f,6,1,286,0,0
2011,Cool,f,6,2,332,0,0
2011,Cool,f,6,3,278,0,0
2011,Cool,f,6,4,294,0,0
2011,Cool,f,6,5,338,102,0.301775148
2011,Cool,f,6,6,275,162,0.589090909
2011,Cool,f,6,7,306,281,0.918300654
2011,Cool,f,6,8,422,366,0.867298578
2011,Cool,f,6,9,149,136,0.912751678
2011,Cool,f,6,10,107,18,0.168224299
2011,Cool,f,6,11,63,0,0
2011,Cool,f,6,12,NA,NA,NA
